movie_id,category,price
1,base,2000
1,teen,1500
1,kids,1000
1,baby,0
1,senior,1300
2,base,1900
2,teen,1400
2,kids,1000
2,baby,0
2,senior,1200
3,base,1900
3,teen,1000
3,kids,1000
3,baby,0
3,senior,1200
4,base,1800
4,teen,1000
4,kids,800
4,baby,0
4,senior,1000
5,base,2000
5,teen,1500
5,kids,1000
5,baby,0
5,senior,1300
6,base,1200
6,teen,800
6,kids,500
6,baby,0
6,senior,1000
7,base,2000
7,teen,1500
7,kids,1000
7,baby,0
7,senior,1200
8,base,1900
8,teen,1500
8,kids,1000
8,baby,0
8,senior,1100
9,base,1800
9,teen,1000
9,kids,800
9,baby,0
9,senior,1100
10,base,1900
10,teen,1500
10,kids,1000
10,baby,0
10,senior,1000
11,base,2000
11,teen,1600
11,kids,1100
11,baby,0
11,senior,1200
12,base,1200
12,teen,1000
12,kids,800
12,baby,0
12,senior,1000
13,base,2000
13,teen,1500
13,kids,-1
13,baby,0
13,senior,1200
14,base,2000
14,teen,1500
14,kids,-1
14,baby,0
14,senior,1200
15,base,2000
15,teen,1500
15,kids,-1
15,baby,0
15,senior,1100
